City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Saint Anthony,US,45.0205,-93.218,19.6,70,100,11.5,overcast clouds
79,Castro,BR,-24.7911,-50.0119,61.34,99,100,4.76,overcast clouds
80,Kruisfontein,ZA,-34.0033,24.7314,78.89,43,0,9.26,clear sky
81,Tiksi,RU,71.6872,128.8694,-12.28,99,44,1.52,scattered clouds
82,Leh,IN,34.1667,77.5833,9.9,75,42,1.57,scattered clouds
83,Kavieng,PG,-2.5744,150.7967,82.0,77,100,7.07,overcast clouds
84,Pevek,RU,69.7008,170.3133,-12.23,96,100,2.62,overcast clouds
85,Tarakan,ID,3.3,117.6333,87.3,74,40,6.91,scattered clouds
86,Sturgis,US,41.7992,-85.4192,17.67,67,100,6.91,overcast clouds
87,Chokurdakh,RU,70.6333,147.9167,-25.73,93,66,1.95,broken clouds
88,Antofagasta,CL,-23.65,-70.4,63.68,82,59,3.22,broken clouds
89,Barrow,US,71.2906,-156.7887,-5.96,97,100,11.21,overcast clouds
90,Biltine,TD,14.5333,20.9167,67.55,15,4,12.84,clear sky
91,Butaritari,KI,3.0707,172.7902,82.44,79,99,18.14,light rain
92,Bengkulu,ID,-3.8004,102.2655,81.25,83,100,8.34,overcast clouds
93,Tilichiki,RU,60.4667,166.1,16.88,71,97,17.25,overcast clouds
94,Gushikawa,JP,26.3544,127.8686,61.83,93,75,19.57,broken clouds
95,Bluefields,NI,12.0137,-83.7635,71.06,86,47,6.93,scattered clouds
96,Goure,NE,13.9835,10.2704,68.02,16,3,16.26,clear sky
97,Betanzos,ES,43.2804,-8.2147,45.09,78,0,1.99,clear sky
98,Lahaina,US,20.8783,-156.6825,73.81,81,26,6.64,scattered clouds
99,Cabo San Lucas,MX,22.8909,-109.9124,69.51,69,20,9.69,few clouds
100,Stornoway,GB,58.2093,-6.3865,39.16,86,100,1.99,overcast clouds
101,Ixtapa,MX,20.7,-105.2,68.23,89,0,3.51,clear sky
102,Kyabe,TD,9.4515,18.9449,79.65,15,15,8.16,few clouds
103,Khatanga,RU,71.9667,102.5,-18.49,94,99,7.63,overcast clouds
104,Mount Gambier,AU,-37.8333,140.7667,70.86,74,9,11.03,clear sky
105,Lebu,CL,-37.6167,-73.65,54.63,89,12,6.35,few clouds
106,East London,ZA,-33.0153,27.9116,79.29,61,0,11.77,clear sky
107,Port Hedland,AU,-20.3167,118.5667,89.65,66,31,27.63,scattered clouds
108,Nouadhibou,MR,20.931,-17.0347,62.58,78,100,19.89,overcast clouds
109,Tura,IN,25.5198,90.2201,68.13,35,36,4.72,scattered clouds
110,Kovdor,RU,67.5662,30.4758,-5.15,100,98,2.13,overcast clouds
111,Ancud,CL,-41.8697,-73.8203,49.53,78,64,8.84,broken clouds
112,Henties Bay,NA,-22.116,14.2845,65.86,77,94,6.24,overcast clouds
113,Carutapera,BR,-1.195,-46.02,73.33,94,100,3.96,overcast clouds
114,Aksarka,RU,66.5606,67.7975,-12.6,100,99,6.51,overcast clouds
115,Dikson,RU,73.5069,80.5464,6.8,94,100,15.86,overcast clouds
116,Neryungri,RU,56.6709,124.6491,-5.53,94,100,8.43,overcast clouds
117,Iwanai,JP,42.9744,140.5089,17.92,68,100,15.97,light snow
118,Flinders,AU,-34.5833,150.8552,81.21,78,82,4.45,broken clouds
119,Jamestown,US,42.097,-79.2353,9.72,10,100,3.38,overcast clouds
120,Beringovskiy,RU,63.05,179.3167,-13.11,100,86,2.68,overcast clouds
121,Mahibadhoo,MV,3.7833,72.9667,82.17,70,57,9.89,broken clouds
122,La Seyne-Sur-Mer,FR,43.0982,5.8847,43.93,47,0,5.03,clear sky
123,Sorong,ID,-0.8833,131.25,82.33,77,94,8.79,overcast clouds
124,Bathsheba,BB,13.2167,-59.5167,75.67,71,16,12.91,few clouds
125,Goundam,ML,16.4145,-3.6708,68.43,15,2,12.28,clear sky
126,Southbridge,US,42.0751,-72.0334,10.78,65,100,7.0,overcast clouds
127,Tongliao,CN,43.6125,122.2653,20.41,85,0,1.99,clear sky
128,Lagoa,PT,39.05,-27.9833,57.42,69,10,18.61,clear sky
129,Tuktoyaktuk,CA,69.4541,-133.0374,-6.36,96,100,16.62,overcast clouds
130,Muros,ES,42.7762,-9.0603,49.84,55,0,5.75,clear sky
131,Bowen,AU,-20.0167,148.2333,83.73,70,5,16.33,clear sky
132,Saint-Philippe,RE,-21.3585,55.7679,87.35,73,18,12.44,few clouds
133,Ocotitlan,MX,19.2333,-99.6167,53.31,87,20,3.44,few clouds
134,Lorengau,PG,-2.0226,147.2712,81.41,77,100,10.18,overcast clouds
135,Airai,TL,-8.9266,125.4092,67.3,76,100,5.28,heavy intensity rain
136,Vredendal,ZA,-31.6683,18.5012,91.69,20,0,4.21,clear sky
137,Tabou,CI,4.423,-7.3528,77.74,88,54,4.99,broken clouds
138,Vao,NC,-22.6667,167.4833,80.04,86,33,16.31,light rain
139,Tucupita,VE,9.0622,-62.051,66.47,95,94,2.48,overcast clouds
140,Ayagoz,KZ,47.9714,80.4392,21.06,93,100,11.74,overcast clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.89,90,85,4.65,overcast clouds
142,Williamsburg,US,37.2707,-76.7075,24.75,59,0,3.44,clear sky
143,Kavaratti,IN,10.5669,72.642,81.79,65,40,9.33,scattered clouds
144,Yulara,AU,-25.2406,130.9889,91.24,43,100,21.85,overcast clouds
145,Anklam,DE,53.8564,13.6897,42.26,66,76,32.44,broken clouds
146,Anaconda,US,46.1285,-112.9423,31.77,65,94,7.25,overcast clouds
147,Katangli,RU,51.7102,143.2326,-0.11,89,100,10.29,overcast clouds
148,Guerrero Negro,MX,27.9769,-114.0611,59.77,72,30,11.39,scattered clouds
149,Constitucion,CL,-35.3333,-72.4167,56.48,92,6,5.61,clear sky
150,Taunggyi,MM,20.7833,97.0333,72.82,16,0,9.46,clear sky
151,Sola,VU,-13.8833,167.55,81.95,80,100,17.81,light rain
152,Huanuco,PE,-9.9329,-76.2415,63.73,81,100,2.04,light rain
153,Bonthe,SL,7.5264,-12.505,75.33,78,77,2.64,broken clouds
