City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Airai,-8.9266,125.4092,61.21,99,100,0.92,TL,2022-01-19 07:36:00
1,Richards Bay,-28.783,32.0377,80.15,70,100,4.79,ZA,2022-01-19 07:36:00
2,Salekhard,66.53,66.6019,-4.07,98,100,0.29,RU,2022-01-19 07:36:01
3,Partizanskoye,55.5006,94.39,16.72,96,86,2.28,RU,2022-01-19 07:36:01
4,Chegdomyn,51.1167,133.0167,-14.91,100,56,1.36,RU,2022-01-19 07:36:01
5,Ushuaia,-54.8,-68.3,46.06,76,75,19.57,AR,2022-01-19 07:33:26
6,Kavieng,-2.5744,150.7967,80.35,82,100,21.12,PG,2022-01-19 07:36:02
7,Port Alfred,-33.5906,26.891,71.92,63,50,12.21,ZA,2022-01-19 07:34:35
8,Ponta Delgada,37.7333,-25.6667,60.49,94,75,9.22,PT,2022-01-19 07:33:04
9,Hilo,19.7297,-155.09,71.33,87,0,4.61,US,2022-01-19 07:33:15
10,Nome,64.5011,-165.4064,-11.13,70,0,0.0,US,2022-01-19 07:36:03
11,Ponta Do Sol,32.6667,-17.1,66.0,90,100,15.28,PT,2022-01-19 07:36:04
12,Chokurdakh,70.6333,147.9167,-33.66,95,43,6.29,RU,2022-01-19 07:34:32
13,Nhulunbuy,-12.2333,136.7667,88.41,66,75,11.5,AU,2022-01-19 07:36:04
14,Vanavara,60.34,102.2797,4.66,95,65,4.61,RU,2022-01-19 07:36:04
15,Buchanan,5.8808,-10.0467,76.3,88,40,4.88,LR,2022-01-19 07:36:05
16,Kaniama,-7.5667,24.1833,69.08,91,100,4.63,CD,2022-01-19 07:36:05
17,Kudahuvadhoo,2.6708,72.8944,82.35,74,81,12.33,MV,2022-01-19 07:36:05
18,Beringovskiy,63.05,179.3167,-18.9,89,4,8.7,RU,2022-01-19 07:36:06
19,Khatanga,71.9667,102.5,-7.76,99,100,1.05,RU,2022-01-19 07:35:45
20,Kalmunai,7.4167,81.8167,81.37,68,77,12.82,LK,2022-01-19 07:36:06
21,Hasaki,35.7333,140.8333,44.89,47,100,3.71,JP,2022-01-19 07:36:07
22,Biak,-0.9131,122.8766,81.19,76,87,1.66,ID,2022-01-19 07:36:07
23,Faanui,-16.4833,-151.75,77.05,83,100,18.05,PF,2022-01-19 07:34:30
24,Samarai,-10.6167,150.6667,83.95,72,90,16.22,PG,2022-01-19 07:36:07
25,Rikitea,-23.1203,-134.9692,78.06,75,100,16.53,PF,2022-01-19 07:33:16
